label,value
Total Turnovers (Rs.),"3,465,201,042.79"
Total Traded Shares,"12,163,763"
Total Transaction,"40,692"
Total Scrips Traded,346
Total Market Cap (Rs.),"4,373,904.59 Millions"
Floated Market Cap (Rs.),"1,474,271.46 Millions"
