rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,248671555.77,205792999.40,454464555.17,42878556.370000005,33631081.00
2,49,Online Securities Limited,141687670.30,116250257.40,257937927.70,25437412.900000006,10145754.40
3,45,Imperial Securities Co. Limited,120708259.85,121204502.90,241912762.75,-496243.0500000119,11249279.60
4,34,Vision Securities Pvt.Limited,105053126.41,130219773.70,235272900.11,-25166647.290000007,5959597.20
5,44,Dynamic Money Managers Securities Pvt.Ltd,109427058.50,125751184.50,235178243.00,-16324126.0,10531235.20
6,101,APPLE SECURITIES PRIVATE LIMITED,117900222.50,114521059.50,232421282.00,3379163.0,771600.00
7,77,Nabil Stock Dealer Limited,76097580.00,123024938.70,199122518.70,-46927358.7,1102650.00
8,42,Sani Securities Company Limited,110924363.10,88060341.20,198984704.30,22864021.89999999,8869860.40
9,48,Trishakti Securities Public Limited,98493869.01,95129052.75,193622921.76,3364816.2600000054,8949784.60
10,62,Capital Max Securities Limited,62073851.60,119818433.20,181892284.80,-57744581.6,3385535.80
11,57,Arya Tara Investment And Securities Pvt. Ltd.,93536485.50,77088510.80,170624996.30,16447974.700000003,7960347.60
12,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,68638653.56,79219440.27,147858093.83,-10580786.709999993,9577143.12
13,74,KALASH STOCK MARKET PVT. LTD.,89765462.70,56077246.00,145842708.70,33688216.7,1906514.40
14,17,ABC Securities Pvt. Limited,58956090.00,82623851.42,141579941.42,-23667761.42,4265996.00
15,39,Sumeru Securities Pvt.Limited,71612438.70,69110717.10,140723155.80,2501721.600000009,1594332.60
