rank,symbol,company_name,close,change,change_percent
1,WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,1055.00,85.00,8.76
2,CKHL,Chirkhwa Hydro Power Limited,615.00,48.50,8.56
3,ALBSL,Asha Laghubitta Bittiya Sanstha Limited,1190.00,91.10,8.29
4,MKHC,Maya Khola Hydropower Company Limited,269.60,19.60,7.84
5,MEPDL,Mount Everest Power Development Limited,660.00,40.00,6.45
6,RMF1,RBB Mutual Fund 1,9.50,0.48,5.32
7,RSML,Reliance Spinning Mills Limited,2830.00,135.00,5.01
8,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,2926.00,136.00,4.87
9,NBF3,Nabil Balanced Fund III,9.54,0.43,4.72
10,NMBHF2,NMB Hybrid Fund L-II,8.98,0.40,4.66
11,MKCL,Muktinath Krishi Company Limited,899.90,39.90,4.64
12,CIT,Citizen Investment Trust,1719.90,63.20,3.81
13,JBBD87,Jyoti Bikash Bank Bond 2087,1170.00,37.00,3.27
14,H8020,Himalayan 80-20,12.00,0.38,3.27
15,ULHC,Upper Lohore Khola Hydropower Company Limited,300.00,9.00,3.09
