rank,symbol,company_name,turnover,ltp
1,RSML,Reliance Spinning Mills Limited,409088927.10,2830.00
2,TAMOR,Sanima Middle Tamor Hydropower Limited,133288863.40,503.00
3,SOHL,Solu Hydropower Limited,128695495.80,650.50
4,SHIVM,Shivam Cements Limited,115080649.80,661.00
5,MEN,Mountain Energy Nepal Limited,99625473.50,627.10
6,AKJCL,Ankhukhola Hydropower Company Limited,96217298.50,340.30
7,RIDI,Ridi Power Company Limited,94660109.60,344.00
8,SMHL,Super Madi Hydropower Limited,89040272.90,527.00
9,GBBL,Garima Bikas Bank Limited,86002303.70,436.30
10,SYPNL,SY Panel Nepal Limited,75651849.40,1281.00
11,UMHL,United Modi Hydropower Limited,74596840.00,562.40
12,CFCL,Central Finance Limited,68158258.60,598.40
13,NRN,NRN Infrastructure and Development Limited,54158523.00,1391.00
14,CHCL,Chilime Hydro power Company Limited,50962073.70,370.20
15,NGPL,Ngadi Group Power Limited,48511316.20,388.00
