rank,symbol,company_name,volume,ltp
1,H8020,Himalayan 80-20,3678997.00,12.00
2,SEF,Siddhartha Equity Fund,519000.00,9.40
3,AKJCL,Ankhukhola Hydropower Company Limited,281818.00,340.30
4,RIDI,Ridi Power Company Limited,272952.00,344.00
5,TAMOR,Sanima Middle Tamor Hydropower Limited,265982.00,503.00
6,PRSF,Prabhu Smart Fund,225597.00,12.89
7,NSIF2,NMB Sulav Investment Fund - II,208045.00,9.90
8,GBBL,Garima Bikas Bank Limited,199020.00,436.30
9,SOHL,Solu Hydropower Limited,194626.00,650.50
10,SHIVM,Shivam Cements Limited,174067.00,661.00
11,SMHL,Super Madi Hydropower Limited,167364.00,527.00
12,MEN,Mountain Energy Nepal Limited,159060.00,627.10
13,KBL,Kumari Bank Limited,153621.00,213.00
14,GBIME,Global IME Bank Limited,147780.00,250.00
15,RSML,Reliance Spinning Mills Limited,146528.00,2830.00
