rank,symbol,company_name,transactions,ltp
1,SAPIL,Sarvottam Paints Industries Limited,2019,1210.00
2,RSML,Reliance Spinning Mills Limited,1151,2830.00
3,SOHL,Solu Hydropower Limited,1036,650.50
4,MEPDL,Mount Everest Power Development Limited,1025,660.00
5,SGHL,Sanigad Hydro Limited,1017,481.10
6,SMHL,Super Madi Hydropower Limited,696,527.00
7,KAHL,Kalanga Hydro Limited,664,490.00
8,SHIVM,Shivam Cements Limited,605,661.00
9,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,603,515.00
10,CFCL,Central Finance Limited,572,598.40
11,SYPNL,SY Panel Nepal Limited,569,1281.00
12,GBIME,Global IME Bank Limited,561,250.00
13,SOPL,Sopan Pharmaceuticals Limited,557,725.00
14,TAMOR,Sanima Middle Tamor Hydropower Limited,555,503.00
15,PCIL,Palpa Cements Industries Limited,538,620.10
