rank,symbol,company_name,close,change,change_percent
1,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,2536.00,-227.30,-8.23
2,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,1034.00,-57.00,-5.22
3,SFEF,Sunrise Focused Equity Fund,9.10,-0.49,-5.11
4,SAND2085,10% Sanima Debenture 2085,1100.00,-45.00,-3.93
5,ENL,Emerging Nepal Limited,571.00,-22.90,-3.86
6,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,1119.00,-35.00,-3.03
7,RMF1,RBB Mutual Fund 1,9.40,-0.29,-2.99
8,NCCD86,9.5%  NCC Rinpatra 2086,1204.00,-37.00,-2.98
9,NICGF2,NIC Asia Growth Fund 2,8.47,-0.23,-2.64
10,RSY,Reliable Samriddhi Yojana,9.20,-0.24,-2.54
11,JFL,Janaki Finance Company Limited,273.00,-7.00,-2.50
12,SSHL,Shiva Shree Hydropower Limited,207.00,-5.30,-2.50
13,NBF3,Nabil Balanced Fund III,9.36,-0.24,-2.50
14,HATHY,Hathway Investment Nepal Limited,595.00,-14.00,-2.30
15,JOSHI,Joshi Hydropower Development Company Limited,256.10,-5.80,-2.21
