Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,559.98","2,587.47","2,556.90","2,585.04",25.55,0.99,"4,688,682,303.71"
Sensitive Index,454.20,458.34,453.97,458.26,4.34,0.95,"1,768,605,175.90"
Float Index,175.87,177.71,175.74,177.57,1.87,1.06,"4,648,331,513.10"
Sensitive Float Index,153.43,154.82,153.29,154.77,1.56,1.01,"1,768,605,175.90"
Banking SubIndex,"1,449.26","1,460.97","1,448.81","1,460.51",11.31,0.78,"495,222,551.20"
Development Bank Index,"5,343.56","5,408.62","5,343.48","5,397.46",46.77,0.87,"253,712,334.30"
Finance Index,"2,192.26","2,233.54","2,182.95","2,230.54",36.78,1.67,"148,874,802.00"
Hotels And Tourism,"7,030.11","7,112.67","7,014.62","7,085.85",60.64,0.86,"120,587,747.20"
HydroPower Index,"3,555.28","3,597.20","3,537.77","3,583.00",41.20,1.16,"2,270,786,443.80"
Investment,95.39,96.52,94.98,96.00,0.61,0.64,"336,974,901.20"
Life Insurance,"11,303.69","11,497.56","11,282.30","11,464.20",164.95,1.45,"80,157,818.60"
Manufacturing And Processing,"10,502.70","10,653.11","10,502.70","10,596.82",57.59,0.54,"596,908,001.30"
Microfinance Index,"4,433.69","4,469.38","4,417.64","4,469.38",35.02,0.78,"203,070,024.20"
Mutual Fund,19.49,19.50,19.38,19.44,-0.06,-0.31,"7,595,223.51"
Non Life Insurance,"9,378.51","9,602.32","9,368.11","9,565.18",143.11,1.51,"60,309,267.00"
Others Index,"1,791.78","1,821.14","1,789.00","1,816.11",24.94,1.39,"74,328,602.20"
Trading Index,"3,223.80","3,268.36","3,170.23","3,268.36",44.55,1.38,"7,399,020.10"
