rank,symbol,company_name,volume,ltp
1,LEC,Liberty Energy Company Limited,935670.00,250.00
2,API,Api Power Company Limited,523868.00,340.00
3,TAMOR,Sanima Middle Tamor Hydropower Limited,398521.00,516.90
4,LSL,Laxmi Sunrise Bank Limited,396536.00,229.40
5,RIDI,Ridi Power Company Limited,363246.00,350.00
6,GHL,Ghalemdi Hydro Limited,328440.00,244.90
7,HURJA,Himalaya Urja Bikas Company Limited,213347.00,252.00
8,NMBHF2,NMB Hybrid Fund L-II,200400.00,8.92
9,AKJCL,Ankhukhola Hydropower Company Limited,199427.00,343.90
10,GBBL,Garima Bikas Bank Limited,195789.00,446.00
11,NRN,NRN Infrastructure and Development Limited,171552.00,1448.00
12,KBL,Kumari Bank Limited,169944.00,216.90
13,SANIMA,Sanima Bank Limited,164822.00,373.00
14,SHIVM,Shivam Cements Limited,158053.00,670.00
15,SOHL,Solu Hydropower Limited,157371.00,655.00
