rank,symbol,company_name,close,change,change_percent
1,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,925.90,55.90,6.43
2,TVCL,Trishuli Jal Vidhyut Company Limited,300.00,18.00,6.38
3,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,1340.00,75.00,5.93
4,SAPIL,Sarvottam Paints Industries Limited,1444.00,74.00,5.40
5,MPFL,Multipurpose Finance Company Limited,565.00,28.00,5.21
6,NICSF,NIC Asia Select-30,8.60,0.40,4.88
7,SPIL,Siddhartha Premier Insurance Limited,604.00,27.00,4.68
8,NYADI,Nyadi Hydropower  Limited,367.80,15.90,4.52
9,BGWT,Bhagawati Hydropower Development Company Limited,497.00,21.00,4.41
10,MEL,Modi Energy Limited,216.00,9.00,4.35
11,SMH,Supermai Hydropower  Limited,523.10,21.10,4.20
12,KBSH,Kutheli Bukhari Small Hydropower Limited,836.00,33.00,4.11
13,RLEL,Ridge Line Energy Limited,789.90,30.90,4.07
14,TAMOR,Sanima Middle Tamor Hydropower Limited,516.90,19.90,4.00
15,RHGCL,Rapti Hydro & General Construction Limited,271.50,10.40,3.98
