rank,symbol,company_name,transactions,ltp
1,LEC,Liberty Energy Company Limited,1443,250.00
2,SGHL,Sanigad Hydro Limited,1170,501.00
3,SAPIL,Sarvottam Paints Industries Limited,1158,1444.00
4,API,Api Power Company Limited,1134,340.00
5,TAMOR,Sanima Middle Tamor Hydropower Limited,1021,516.90
6,SOHL,Solu Hydropower Limited,829,655.00
7,PCIL,Palpa Cements Industries Limited,660,615.00
8,RIDI,Ridi Power Company Limited,642,350.00
9,KAHL,Kalanga Hydro Limited,640,499.70
10,NRN,NRN Infrastructure and Development Limited,636,1448.00
11,RSML,Reliance Spinning Mills Limited,600,2936.00
12,MEPDL,Mount Everest Power Development Limited,593,643.50
13,HRL,Himalayan Reinsurance Limited,569,516.90
14,GHL,Ghalemdi Hydro Limited,563,244.90
15,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,542,508.00
