rank,symbol,company_name,turnover,ltp
1,NRN,NRN Infrastructure and Development Limited,249074187.60,1448.00
2,LEC,Liberty Energy Company Limited,238405788.30,250.00
3,TAMOR,Sanima Middle Tamor Hydropower Limited,203841851.90,516.90
4,RSML,Reliance Spinning Mills Limited,177960940.50,2936.00
5,API,Api Power Company Limited,177766607.90,340.00
6,RIDI,Ridi Power Company Limited,127823345.40,350.00
7,SHIVM,Shivam Cements Limited,105980691.10,670.00
8,SOHL,Solu Hydropower Limited,103278856.60,655.00
9,LSL,Laxmi Sunrise Bank Limited,90718321.10,229.40
10,GBBL,Garima Bikas Bank Limited,87378048.90,446.00
11,GHL,Ghalemdi Hydro Limited,80120320.90,244.90
12,HDL,Himalayan Distillery Limited,71810807.90,1201.00
13,AKJCL,Ankhukhola Hydropower Company Limited,68861180.20,343.90
14,MEN,Mountain Energy Nepal Limited,68830938.70,646.90
15,SBL,Siddhartha Bank Limited,65439000.70,422.00
