label,value
Total Turnovers (Rs.),"4,688,682,303.71"
Total Traded Shares,"11,595,654"
Total Transaction,"49,074"
Total Scrips Traded,336
Total Market Cap (Rs.),"4,446,623.71 Millions"
Floated Market Cap (Rs.),"1,501,554.71 Millions"
