rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,363499141.90,287601367.97,651100509.87,75897773.92999995,46862849.20
2,44,Dynamic Money Managers Securities Pvt.Ltd,178400534.90,209431770.90,387832305.80,-31031236.0,27533067.00
3,49,Online Securities Limited,148981143.50,180313711.60,329294855.10,-31332568.099999994,15343573.60
4,45,Imperial Securities Co. Limited,158076236.90,167435450.70,325511687.60,-9359213.799999982,11504200.20
5,32,Premier Securites Company Limited,167984950.10,151845056.40,319830006.50,16139893.699999988,74939764.00
6,34,Vision Securities Pvt.Limited,161694847.80,137970889.88,299665737.68,23723957.920000017,10807936.80
7,42,Sani Securities Company Limited,141893325.02,149093574.70,290986899.72,-7200249.679999977,14047683.00
8,48,Trishakti Securities Public Limited,136599846.25,152754165.70,289354011.95,-16154319.449999988,29423750.80
9,33,Dakshinkali Investment Securities Pvt.Limited,146083262.80,110962658.80,257045921.60,35120604.000000015,3332662.00
10,17,ABC Securities Pvt. Limited,138573081.14,80710374.24,219283455.38,57862706.89999999,1777760.48
11,14,Nepal Stock House Pvt. Limited,81017198.10,132856205.30,213873403.40,-51839007.2,1821884.00
12,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,116414661.80,92205974.00,208620635.80,24208687.799999997,2487216.00
13,4,Stock Broker Opal Securities Investment Pvt. Limited,92528154.53,94731439.20,187259593.73,-2203284.670000002,4115579.80
14,25,Sweta Securities Pvt. Limited,81022915.40,80124216.50,161147131.90,898698.900000006,1736275.80
15,62,Capital Max Securities Limited,83959008.32,75760794.20,159719802.52,8198214.11999999,2024014.00
