rank,symbol,company_name,volume,ltp
1,KKHC,Khani Khola Hydropower Company Limited,354765.00,296.00
2,RIDI,Ridi Power Company Limited,294672.00,363.00
3,GBIME,Global IME Bank Limited,286885.00,256.00
4,AKJCL,Ankhukhola Hydropower Company Limited,246031.00,360.00
5,KBL,Kumari Bank Limited,230853.00,222.00
6,HPPL,Himalayan Power Partner Limited,214904.00,388.00
7,LSL,Laxmi Sunrise Bank Limited,180338.00,226.80
8,NHPC,National Hydro Power Company Limited,147186.00,265.00
9,SOHL,Solu Hydropower Limited,143962.00,571.00
10,CFCL,Central Finance Limited,133292.00,660.10
11,LEC,Liberty Energy Company Limited,127642.00,224.80
12,CORBL,Corporate Development Bank Limited,126446.00,1155.00
13,NIMB,Nepal Investment Mega Bank Limited,107356.00,199.00
14,MNMF1,Muktinath Mutual Fund 1,101350.00,9.58
15,SBL,Siddhartha Bank Limited,99488.00,410.70
