rank,symbol,company_name,turnover,ltp
1,RSML,Reliance Spinning Mills Limited,243843238.70,3024.00
2,CORBL,Corporate Development Bank Limited,153323966.00,1155.00
3,RIDI,Ridi Power Company Limited,107717404.50,363.00
4,KKHC,Khani Khola Hydropower Company Limited,105841532.10,296.00
5,AKJCL,Ankhukhola Hydropower Company Limited,88893869.00,360.00
6,CFCL,Central Finance Limited,87163901.20,660.10
7,SOHL,Solu Hydropower Limited,83865787.10,571.00
8,HPPL,Himalayan Power Partner Limited,82936446.20,388.00
9,NRN,NRN Infrastructure and Development Limited,82488671.60,1402.00
10,GBIME,Global IME Bank Limited,73871650.90,256.00
11,KBL,Kumari Bank Limited,51121757.90,222.00
12,SOPL,Sopan Pharmaceuticals Limited,48843630.20,825.00
13,SMHL,Super Madi Hydropower Limited,46169390.30,496.00
14,SHIVM,Shivam Cements Limited,46039942.40,636.00
15,SAIL,Shreenagar Agritech Industries Limited,43991340.10,1075.00
