label,value
Total Turnovers (Rs.),"3,381,318,248.02"
Total Traded Shares,"7,548,591"
Total Transaction,"44,651"
Total Scrips Traded,337
Total Market Cap (Rs.),"4,593,011.69 Millions"
Floated Market Cap (Rs.),"1,551,240.78 Millions"
