rank,symbol,company_name,transactions,ltp
1,SGHL,Sanigad Hydro Limited,2008,519.90
2,CORBL,Corporate Development Bank Limited,1982,1155.00
3,RSML,Reliance Spinning Mills Limited,1464,3024.00
4,KAHL,Kalanga Hydro Limited,1360,536.00
5,SOPL,Sopan Pharmaceuticals Limited,1150,825.00
6,KKHC,Khani Khola Hydropower Company Limited,1076,296.00
7,SOHL,Solu Hydropower Limited,926,571.00
8,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,909,539.00
9,YMHL,Yambaling Hydropower Limited,822,645.00
10,SNORL,Snow Rivers Limited,703,938.00
11,PCIL,Palpa Cements Industries Limited,658,649.50
12,HPPL,Himalayan Power Partner Limited,630,388.00
13,AKJCL,Ankhukhola Hydropower Company Limited,593,360.00
14,GBIME,Global IME Bank Limited,558,256.00
15,KBL,Kumari Bank Limited,518,222.00
