rank,symbol,company_name,close,change,change_percent
1,ECL,Everest Colour Limited,1138.60,148.50,15.00
2,CFCL,Central Finance Limited,660.10,17.60,2.74
3,SPL,Shuvam Power Limited,664.00,14.00,2.15
4,TRH,Taragaon Regency Hotel Limited,785.90,15.50,2.01
5,NMBHF2,NMB Hybrid Fund L-II,9.75,0.17,1.77
6,NICFC,NIC Asia Flexi Cap Fund,9.28,0.16,1.75
7,SBLD2091,7.25% SBL Debenture 2091,1065.00,17.00,1.62
8,NADEP,NADEP Laghubitta Bittiya Sanstha Limited,741.00,11.70,1.60
9,SPHL,Sayapatri Hydropower Limited,536.00,8.00,1.52
10,SAPDBL,Saptakoshi Development Bank Limited,839.90,11.90,1.44
11,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,1220.00,15.00,1.24
12,MATRI,Matribhumi Laghubitta Bittiya Sanstha Limited,829.90,9.90,1.21
13,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,1090.00,12.70,1.18
14,DHPL,Dibyashwari Hydropower Company Limited,295.30,3.30,1.13
15,UMRH,United Idi-Mardi and R.B. Hydropower Limited,539.50,5.50,1.03
