rank,symbol,company_name,close,change,change_percent
1,KHPL,Kalinchowk Hydropower Limited,902.00,-159.00,-14.99
2,CORBL,Corporate Development Bank Limited,1155.00,-162.00,-12.30
3,GBIMEP,Global IME Bank Limited Promoter Share,111.40,-9.40,-7.78
4,SOHL,Solu Hydropower Limited,571.00,-22.70,-3.82
5,GBIMESY2,Global IME Samunnat Yojana -II,9.04,-0.35,-3.73
6,RLEL,Ridge Line Energy Limited,867.80,-31.20,-3.47
7,SNORL,Snow Rivers Limited,938.00,-33.40,-3.44
8,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,539.00,-18.90,-3.39
9,SABBL,Salapa Bikas Bank Limited,1063.00,-36.00,-3.28
10,LUK,Laxmi Unnati Kosh,10.46,-0.33,-3.06
11,RSML,Reliance Spinning Mills Limited,3024.00,-94.00,-3.01
12,GWFD83,12% Goodwill Finance Limited Debenture 2083,1123.30,-34.70,-3.00
13,PBLD87,8.5% Prabhu Bank Debenture 2087,1101.00,-33.90,-2.99
14,TSHL,Three Star Hydropower Limited,372.00,-11.00,-2.87
15,DHEL,Daramkhola Hydro Energy Limited,580.00,-17.00,-2.85
