rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,231158966.45,311908088.20,543067054.65,-80749121.75,46470565.80
2,42,Sani Securities Company Limited,118155657.40,138156210.28,256311867.68,-20000552.879999995,6630021.80
3,34,Vision Securities Pvt.Limited,109671816.60,111116164.40,220787981.00,-1444347.800000012,5341350.20
4,45,Imperial Securities Co .Pvt.Limited,96020228.80,115495791.10,211516019.90,-19475562.299999997,10932712.80
5,49,Online Securities Limited,120349352.97,90507750.00,210857102.97,29841602.97,2894004.00
6,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,76147697.08,115185647.60,191333344.68,-39037950.519999996,3267673.00
7,48,Trishakti Securities Public Limited,83327414.20,99287150.80,182614565.00,-15959736.599999994,3378280.20
8,57,Arya Tara Investment And Securities Pvt. Ltd.,94134453.40,78664197.40,172798650.80,15470256.0,5134356.40
9,44,Dynamic Money Managers Securities Pvt.Ltd,85008743.00,70330301.90,155339044.90,14678441.099999994,17784955.80
10,14,Nepal Stock House Pvt. Limited,58538411.80,89217340.26,147755752.06,-30678928.46000001,2882966.40
11,62,Capital Max Securities Limited,79777206.60,66749606.00,146526812.60,13027600.599999994,13636792.20
12,32,Premier Securites Company Limited,68923323.20,53090818.80,122014142.00,15832504.400000006,1694032.00
13,26,Asian Securities Pvt. Limited,34193775.80,87107904.10,121301679.90,-52914128.3,3546932.00
14,76,Machhapuchchhre Securities Limited,53444312.50,67737401.10,121181713.60,-14293088.599999994,61658.00
15,35,Kohinoor Investment and Securities Pvt.Ltd,67232732.10,52849818.20,120082550.30,14382913.899999991,1678160.00
