rank,symbol,company_name,turnover,ltp
1,RSML,Reliance Spinning Mills Limited,338666581.30,3240.00
2,GBIME,Global IME Bank Limited,281395378.60,255.00
3,RIDI,Ridi Power Company Limited,221346823.60,366.00
4,KBL,Kumari Bank Limited,172226303.20,223.20
5,CFCL,Central Finance Limited,159990517.00,660.00
6,NRN,NRN Infrastructure and Development Limited,139728774.50,1436.00
7,AKJCL,Ankhukhola Hydropower Company Limited,138015069.80,366.20
8,CHDC,CEDB Holdings Limited,118554977.20,2300.00
9,HRL,Himalayan Reinsurance Limited,103287146.90,603.90
10,CORBL,Corporate Development Bank Limited,96135864.10,1399.90
11,NIMB,Nepal Investment Mega Bank Limited,95284892.30,203.00
12,GUFL,Gurkhas Finance Limited,91928358.80,578.50
13,NABIL,Nabil Bank Limited,87108157.90,560.00
14,LEC,Liberty Energy Company Limited,87094227.50,225.00
15,NHPC,National Hydro Power Company Limited,86132254.10,269.90
