rank,symbol,company_name,close,change,change_percent
1,ECL,Everest Colour Limited,748.70,97.60,14.99
2,GSY,Garima Samriddhi Yojana,9.87,0.45,4.78
3,SAND2085,10% Sanima Debenture 2085,1150.00,50.00,4.55
4,HEIP,Himalayan Everest Insurance Limited Promoter,342.00,14.00,4.27
5,GUFL,Gurkhas Finance Limited,578.50,21.50,3.86
6,NIMBD90,10% NIMB Debenture 2090,1266.20,46.10,3.78
7,SBCF,Sunrise Bluechip Fund,9.95,0.34,3.54
8,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,1258.00,37.90,3.11
9,NBLD85,8% Nabil Debenture 2085,1070.90,30.90,2.97
10,SIGS2,Siddhartha Investment Growth Scheme-2,10.50,0.30,2.94
11,KSY,Kumari Sabal Yojana,9.83,0.28,2.93
12,SEF,Siddhartha Equity Fund,10.40,0.29,2.87
13,NICFC,NIC Asia Flexi Cap Fund,9.46,0.26,2.83
14,LUK,Laxmi Unnati Kosh,10.00,0.24,2.46
15,NICBF,NIC ASIA Balanced Fund,9.34,0.22,2.41
