rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,475295293.80,520518041.96,995813335.76,-45222748.15999997,83330987.60
2,77,Nabil Stock Dealer Limited,386786084.20,144808056.80,531594141.00,241978027.39999998,1824608.00
3,49,Online Securities Limited,234306252.90,236000627.75,470306880.65,-1694374.849999994,142560720.80
4,34,Vision Securities Pvt.Limited,181794651.82,249993263.37,431787915.19,-68198611.55000001,32688605.40
5,42,Sani Securities Company Limited,153426095.66,224812662.90,378238758.56,-71386567.24000001,10316251.60
6,45,Imperial Securities Co .Pvt.Limited,160767592.60,205578226.20,366345818.80,-44810633.599999994,6161355.20
7,48,Trishakti Securities Public Limited,177713498.00,180292310.20,358005808.20,-2578812.199999988,6174934.80
8,76,Machhapuchchhre Securities Limited,165757173.40,166249212.30,332006385.70,-492038.90000000596,3065280.00
9,57,Arya Tara Investment And Securities Pvt. Ltd.,153695248.30,165235980.20,318931228.50,-11540731.899999976,8728536.00
10,44,Dynamic Money Managers Securities Pvt.Ltd,147548209.20,133123824.70,280672033.90,14424384.499999985,15292139.40
11,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,125315938.20,151452775.00,276768713.20,-26136836.799999997,5896504.80
12,41,Linch Stock Market Limited,168322038.20,107762429.10,276084467.30,60559609.099999994,6580567.20
13,101,APPLE SECURITIES PRIVATE LIMITED,54579946.90,212305288.10,266885235.00,-157725341.2,0.00
14,39,Sumeru Securities Pvt.Limited,145669111.97,112016488.00,257685599.97,33652623.97,7112469.80
15,35,Kohinoor Investment and Securities Pvt.Ltd,118812838.74,114175738.90,232988577.64,4637099.839999989,4594668.20
