rank,symbol,company_name,transactions,ltp
1,SGHL,Sanigad Hydro Limited,3568,520.00
2,KAHL,Kalanga Hydro Limited,2478,552.00
3,GBIME,Global IME Bank Limited,2097,255.00
4,KBL,Kumari Bank Limited,1551,223.20
5,SOPL,Sopan Pharmaceuticals Limited,1534,858.90
6,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,1497,553.00
7,HRL,Himalayan Reinsurance Limited,1457,603.90
8,RSML,Reliance Spinning Mills Limited,1324,3240.00
9,SOHL,Solu Hydropower Limited,1320,591.00
10,HBL,Himalayan Bank Limited,1096,201.90
11,YMHL,Yambaling Hydropower Limited,1081,615.00
12,RIDI,Ridi Power Company Limited,1031,366.00
13,SNORL,Snow Rivers Limited,990,910.00
14,AKJCL,Ankhukhola Hydropower Company Limited,987,366.20
15,NABIL,Nabil Bank Limited,975,560.00
