rank,symbol,company_name,close,change,change_percent
1,ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,5768.00,-891.00,-13.38
2,CORBL,Corporate Development Bank Limited,1399.90,-149.10,-9.63
3,NBLD87,8.5% Nepal Bank Debenture 2087,1120.00,-105.00,-8.57
4,NMBD87/88,8.5% NMB Rinpatra 2087/88,1110.00,-101.00,-8.34
5,CCBD88,10.50% Century Debenture 2088,1215.40,-110.60,-8.34
6,RLEL,Ridge Line Energy Limited,890.10,-79.90,-8.24
7,SABBL,Salapa Bikas Bank Limited,1065.00,-95.00,-8.19
8,KAHL,Kalanga Hydro Limited,552.00,-49.20,-8.18
9,NMBD89/90,10.75% NMB Debenture  2089/2090,1260.00,-110.00,-8.03
10,HFIN,Hotel Forest Inn Limited,720.00,-59.00,-7.57
11,RSML,Reliance Spinning Mills Limited,3240.00,-254.00,-7.27
12,SKHEL,Suryakunda Hydro Electric Limited,999.90,-78.00,-7.24
13,KHPL,Kalinchowk Hydropower Limited,920.00,-70.00,-7.07
14,SNORL,Snow Rivers Limited,910.00,-69.00,-7.05
15,SIPD,Shikhar Power Development Limited,681.00,-46.00,-6.33
