label,value
Total Turnovers (Rs.),"6,080,863,354.65"
Total Traded Shares,"13,925,337"
Total Transaction,"69,803"
Total Scrips Traded,360
Total Market Cap (Rs.),"4,642,400.81 Millions"
Floated Market Cap (Rs.),"1,567,670.69 Millions"
