rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,283533318.45,319062648.76,602595967.21,-35529330.31,49227130.40
2,77,Nabil Stock Dealer Limited,427043367.10,135699994.40,562743361.50,291343372.70000005,2168404.00
3,34,Vision Securities Pvt.Limited,123079706.55,430638383.10,553718089.65,-307558676.55,11697649.20
4,49,Online Securities Limited,163345427.32,256329973.96,419675401.28,-92984546.64000002,52353256.80
5,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,120161533.30,266560422.91,386721956.21,-146398889.61,4896615.60
6,42,Sani Securities Company Limited,200429200.20,129790467.39,330219667.59,70638732.80999999,16981416.60
7,45,Imperial Securities Co .Pvt.Limited,143138313.60,174010609.30,317148922.90,-30872295.700000018,13608523.20
8,64,SUN SECURITIES PVT LTD,132554277.30,167561519.30,300115796.60,-35007242.000000015,1522732.00
9,32,Premier Securites Company Limited,169330782.70,130605595.42,299936378.12,38725187.27999999,4214592.20
10,62,Capital Max Securities Limited,159987533.72,117271059.00,277258592.72,42716474.72,4937570.00
11,76,Machhapuchchhre Securities Limited,79932169.00,173378971.90,253311140.90,-93446802.9,52140.00
12,48,Trishakti Securities Public Limited,133020568.30,96932105.00,229952673.30,36088463.3,5858381.00
13,17,ABC Securities Pvt. Limited,124438017.80,91359093.40,215797111.20,33078924.39999999,15789611.60
14,35,Kohinoor Investment and Securities Pvt.Ltd,115610124.40,98924280.45,214534404.85,16685843.950000003,4581779.80
15,57,Arya Tara Investment And Securities Pvt. Ltd.,123862315.00,86455999.00,210318314.00,37406316.0,4178119.60
