rank,symbol,company_name,transactions,ltp
1,SGHL,Sanigad Hydro Limited,3729,537.60
2,SOHL,Solu Hydropower Limited,2489,709.00
3,RSML,Reliance Spinning Mills Limited,2404,2841.60
4,KAHL,Kalanga Hydro Limited,1829,550.00
5,BHCL,Bikash Hydropower Company Limited,1518,554.00
6,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,1168,550.10
7,YMHL,Yambaling Hydropower Limited,1023,637.00
8,NBL,Nepal Bank Limited,1004,276.40
9,PRVU,Prabhu Bank Limited,929,183.80
10,NIMB,Nepal Investment Mega Bank Limited,903,188.90
11,KKHC,Khani Khola Hydropower Company Limited,879,331.00
12,SOPL,Sopan Pharmaceuticals Limited,865,795.00
13,ECL,Everest Colour Limited,834,1510.00
14,RIDI,Ridi Power Company Limited,756,361.60
15,NHPC,National Hydro Power Company Limited,681,266.00
