rank,symbol,company_name,turnover,ltp
1,RSML,Reliance Spinning Mills Limited,1386334565.00,2841.60
2,SOHL,Solu Hydropower Limited,384493712.50,709.00
3,RIDI,Ridi Power Company Limited,164140933.20,361.60
4,KKHC,Khani Khola Hydropower Company Limited,154103139.80,331.00
5,BHCL,Bikash Hydropower Company Limited,121672691.50,554.00
6,NBL,Nepal Bank Limited,111255063.30,276.40
7,CFCL,Central Finance Limited,86489652.60,610.00
8,GBIME,Global IME Bank Limited,85910128.90,249.00
9,SGHL,Sanigad Hydro Limited,85697527.00,537.60
10,SAHAS,Sahas Urja Limited,77192442.70,684.00
11,GHL,Ghalemdi Hydro Limited,75251202.60,242.50
12,NIMB,Nepal Investment Mega Bank Limited,70012557.40,188.90
13,AKJCL,Ankhukhola Hydropower Company Limited,67723412.90,355.50
14,NHPC,National Hydro Power Company Limited,58662907.00,266.00
15,TAMOR,Sanima Middle Tamor Hydropower Limited,58534123.40,469.00
