rank,symbol,company_name,volume,ltp
1,SOHL,Solu Hydropower Limited,554842.00,709.00
2,RSML,Reliance Spinning Mills Limited,523651.00,2841.60
3,KKHC,Khani Khola Hydropower Company Limited,462907.00,331.00
4,RIDI,Ridi Power Company Limited,450230.00,361.60
5,NSIF2,NMB Sulav Investment Fund - II,433583.00,10.98
6,NBL,Nepal Bank Limited,400533.00,276.40
7,NIMB,Nepal Investment Mega Bank Limited,370510.00,188.90
8,GBIME,Global IME Bank Limited,342941.00,249.00
9,GHL,Ghalemdi Hydro Limited,306371.00,242.50
10,NMB50,NMB 50,303727.00,10.00
11,PRSF,Prabhu Smart Fund,236720.00,12.75
12,PRVU,Prabhu Bank Limited,222553.00,183.80
13,NHPC,National Hydro Power Company Limited,221133.00,266.00
14,BHCL,Bikash Hydropower Company Limited,219396.00,554.00
15,AKJCL,Ankhukhola Hydropower Company Limited,188646.00,355.50
