label,value
Total Turnovers (Rs.),"5,525,511,872.75"
Total Traded Shares,"11,932,035"
Total Transaction,"56,818"
Total Scrips Traded,350
Total Market Cap (Rs.),"4,544,292.91 Millions"
Floated Market Cap (Rs.),"1,532,914.70 Millions"
