rank,symbol,company_name,close,change,change_percent
1,SAPIL,Sarvottam Paints Industries Limited,456.20,59.50,15.00
2,MEPDL,Mount Everest Power Development Limited,524.60,68.40,14.99
3,RSML,Reliance Spinning Mills Limited,2841.60,285.60,11.17
4,SMJC,Sagarmatha Jalbidhyut Company Limited,480.00,47.80,11.06
5,LUK,Laxmi Unnati Kosh,10.60,0.80,8.16
6,SBCF,Sunrise Bluechip Fund,10.15,0.74,7.86
7,CSY,Citizens Santulit Yojana,8.89,0.64,7.76
8,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,1460.00,105.00,7.75
9,SLCF,Sanima Large Cap Fund,10.40,0.70,7.22
10,BHCL,Bikash Hydropower Company Limited,554.00,31.90,6.11
11,HEIP,Himalayan Everest Insurance Limited Promoter,339.50,19.40,6.06
12,BJHL,Bhujung Hydropower Limited,737.00,41.00,5.89
13,SOHL,Solu Hydropower Limited,709.00,38.00,5.66
14,SANVI,Sanvi Energy Limited,614.00,27.00,4.60
15,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),894.90,38.80,4.53
