rank,symbol,company_name,close,change,change_percent
1,KBSH,Kutheli Bukhari Small Hydropower Limited,1045.50,-184.50,-15.00
2,BUNGAL,Bungal Hydro Limited,635.00,-70.00,-9.93
3,RSML,Reliance Spinning Mills Limited,3516.00,-165.00,-4.48
4,BOKD86KA,10.5% BOK Debenture 2086,1100.00,-34.00,-3.00
5,SBLD83,10.25% SBL Debenture 2083,1038.00,-32.00,-2.99
6,NICD83/84,10.25% NIC ASIA Debenture 2083/84,1048.00,-31.90,-2.95
7,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,1214.00,-35.00,-2.80
8,ULHC,Upper Lohore Khola Hydropower Company Limited,362.20,-9.80,-2.63
9,NIBLGF,NIBL Growth Fund,9.25,-0.25,-2.63
10,SBID83,10.25% Nepal SBI Bank Debenture 2083,1060.00,-28.40,-2.61
11,H8020,Himalayan 80-20,12.00,-0.30,-2.44
12,SGHC,Swet-Ganga Hydropower & Construction Limited,325.00,-8.00,-2.40
13,SMJC,Sagarmatha Jalbidhyut Company Limited,440.00,-9.80,-2.18
14,NRN,NRN Infrastructure and Development Limited,1487.10,-32.80,-2.16
15,CSY,Citizens Santulit Yojana,9.12,-0.20,-2.15
