Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,695.38","2,726.77","2,689.30","2,726.72",14.17,0.52,"4,693,449,370.67"
Sensitive Index,466.43,471.30,466.43,471.30,0.98,0.21,"1,359,320,370.00"
Float Index,184.43,186.58,184.27,186.58,0.73,0.39,"4,641,435,105.30"
Sensitive Float Index,157.79,159.73,157.79,159.73,0.29,0.18,"1,359,320,370.00"
Banking SubIndex,"1,433.76","1,471.79","1,433.76","1,471.79",5.64,0.38,"358,271,471.60"
Development Bank Index,"5,718.50","5,786.78","5,694.67","5,784.67",42.84,0.74,"311,269,726.30"
Finance Index,"2,452.14","2,470.46","2,435.44","2,470.46",6.78,0.27,"171,670,097.80"
Hotels And Tourism,"7,409.56","7,510.39","7,354.64","7,510.39",73.90,0.99,"135,081,656.50"
HydroPower Index,"3,776.33","3,821.65","3,729.79","3,821.18",42.32,1.12,"2,291,972,387.10"
Investment,100.37,100.87,99.41,100.16,-0.42,-0.42,"221,416,281.10"
Life Insurance,"12,451.25","12,467.87","12,144.10","12,303.08",28.15,0.22,"90,429,781.80"
Manufacturing And Processing,"10,923.23","11,160.56","10,923.23","11,115.12",38.67,0.34,"750,378,194.80"
Microfinance Index,"4,681.54","4,698.69","4,648.45","4,698.69",6.39,0.13,"135,319,748.60"
Mutual Fund,21.57,21.66,21.39,21.66,0.11,0.53,"9,433,132.18"
Non Life Insurance,"10,935.25","11,005.85","10,844.02","11,005.85",70.60,0.64,"45,595,628.50"
Others Index,"2,008.28","2,014.56","1,987.74","2,008.47",-1.61,-0.08,"122,035,211.20"
Trading Index,"3,374.15","3,461.30","3,354.87","3,461.30",87.14,2.58,"7,994,920.00"
