rank,symbol,company_name,turnover,ltp
1,RSML,Reliance Spinning Mills Limited,283319144.70,3516.00
2,AKJCL,Ankhukhola Hydropower Company Limited,275233779.80,386.50
3,RIDI,Ridi Power Company Limited,249220390.00,378.10
4,SOHL,Solu Hydropower Limited,171969426.00,623.00
5,NRN,NRN Infrastructure and Development Limited,162454836.80,1487.10
6,CORBL,Corporate Development Bank Limited,138743991.50,1440.00
7,BUNGAL,Bungal Hydro Limited,122425656.70,635.00
8,SAIL,Shreenagar Agritech Industries Limited,108663415.00,1145.00
9,SYPNL,SY Panel Nepal Limited,106090378.70,1426.90
10,NHPC,National Hydro Power Company Limited,101220418.30,284.00
11,API,Api Power Company Limited,87279722.00,342.50
12,NGPL,Ngadi Group Power Limited,85451049.50,419.00
13,KBL,Kumari Bank Limited,81300968.70,223.00
14,SOPL,Sopan Pharmaceuticals Limited,72325100.30,905.00
15,CFCL,Central Finance Limited,71245102.50,649.90
