rank,symbol,company_name,transactions,ltp
1,SGHL,Sanigad Hydro Limited,3818,550.00
2,KAHL,Kalanga Hydro Limited,2419,583.00
3,SOHL,Solu Hydropower Limited,1828,623.00
4,SOPL,Sopan Pharmaceuticals Limited,1797,905.00
5,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,1425,590.00
6,SNORL,Snow Rivers Limited,1401,995.00
7,AKJCL,Ankhukhola Hydropower Company Limited,1322,386.50
8,RIDI,Ridi Power Company Limited,1240,378.10
9,BUNGAL,Bungal Hydro Limited,1183,635.00
10,YMHL,Yambaling Hydropower Limited,1172,660.00
11,CORBL,Corporate Development Bank Limited,1127,1440.00
12,SAIL,Shreenagar Agritech Industries Limited,1125,1145.00
13,APHL,Appolo Hydropower Limited,1117,930.00
14,RSML,Reliance Spinning Mills Limited,973,3516.00
15,PCIL,Palpa Cements Industries Limited,944,687.00
