rank,symbol,company_name,volume,ltp
1,AKJCL,Ankhukhola Hydropower Company Limited,719259.00,386.50
2,RIDI,Ridi Power Company Limited,658719.00,378.10
3,SIGS3,Siddhartha Investment Growth Scheme 3,376585.00,10.60
4,KBL,Kumari Bank Limited,368248.00,223.00
5,NHPC,National Hydro Power Company Limited,356524.00,284.00
6,SOHL,Solu Hydropower Limited,284258.00,623.00
7,LSL,Laxmi Sunrise Bank Limited,259236.00,227.00
8,API,Api Power Company Limited,255571.00,342.50
9,RMF1,RBB Mutual Fund 1,245740.00,9.90
10,NGPL,Ngadi Group Power Limited,203489.00,419.00
11,BUNGAL,Bungal Hydro Limited,191406.00,635.00
12,RBBF40,RBB Focus 40,176251.00,9.19
13,HDHPC,Himal Dolakha Hydropower Company Limited,123561.00,220.80
14,SBL,Siddhartha Bank Limited,113029.00,406.00
15,CFCL,Central Finance Limited,110432.00,649.90
