rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,635656486.06,548543130.20,1184199616.26,87113355.8599999,265017549.00
2,49,Online Securities Limited,305087594.30,270734341.00,575821935.30,34353253.30000001,165363628.80
3,42,Sani Securities Company Limited,198879089.54,258939603.90,457818693.44,-60060514.360000014,19437084.80
4,45,Imperial Securities Co .Pvt.Limited,224005353.90,186562926.92,410568280.82,37442426.98000002,10336689.20
5,34,Vision Securities Pvt.Limited,195418244.10,205924018.30,401342262.40,-10505774.200000018,34765091.00
6,48,Trishakti Securities Public Limited,206534462.62,191478582.80,398013045.42,15055879.819999993,18286849.60
7,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,122015055.50,228104393.57,350119449.07,-106089338.07,17871721.80
8,57,Arya Tara Investment And Securities Pvt. Ltd.,142561241.40,167312960.20,309874201.60,-24751718.799999982,20256046.60
9,14,Nepal Stock House Pvt. Limited,152468577.60,149365702.20,301834279.80,3102875.400000006,18429975.80
10,17,ABC Securities Pvt. Limited,106110263.30,193078205.70,299188469.00,-86967942.39999999,7145146.00
11,44,Dynamic Money Managers Securities Pvt.Ltd,140062309.70,147981959.00,288044268.70,-7919649.300000012,4583048.20
12,35,Kohinoor Investment and Securities Pvt.Ltd,140970906.90,125883582.30,266854489.20,15087324.600000009,5170307.60
13,62,Capital Max Securities Limited,118825000.00,130444198.50,249269198.50,-11619198.5,15248739.20
14,39,Sumeru Securities Pvt.Limited,137485526.60,111051389.80,248536916.40,26434136.799999997,23617628.00
15,74,KALASH STOCK MARKET PVT. LTD.,140125879.90,95705998.60,235831878.50,44419881.30000001,5429446.00
