rank,symbol,company_name,close,change,change_percent
1,ECL,Everest Colour Limited,1505.60,196.30,14.99
2,SAPDBL,Saptakoshi Development Bank Limited,960.00,101.10,11.77
3,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,1317.00,88.00,7.16
4,SAIL,Shreenagar Agritech Industries Limited,1144.40,45.40,4.13
5,SAGAR,Sagar Distillery Limited,1779.90,69.90,4.09
6,SAGF,Sanima Growth Fund,10.40,0.35,3.48
7,SKHL,Super Khudi Hydropower Limited,914.00,30.00,3.39
8,PBD84,10.15% Prime Debenture 2084,1102.00,35.00,3.28
9,TSHL,Three Star Hydropower Limited,385.10,11.10,2.97
10,SIGS2,Siddhartha Investment Growth Scheme-2,10.81,0.31,2.95
11,LUK,Laxmi Unnati Kosh,10.50,0.30,2.94
12,LVF2,Laxmi Value Fund-II,10.14,0.28,2.84
13,GSY,Garima Samriddhi Yojana,9.92,0.27,2.80
14,RLEL,Ridge Line Energy Limited,909.90,24.20,2.73
15,RBCL,Rastriya Beema Company Limited,14590.00,384.00,2.70
