rank,symbol,company_name,transactions,ltp
1,ECL,Everest Colour Limited,7120,1505.60
2,SGHL,Sanigad Hydro Limited,3825,529.60
3,KAHL,Kalanga Hydro Limited,2058,537.10
4,RSML,Reliance Spinning Mills Limited,1983,2780.00
5,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,1484,550.00
6,SAIL,Shreenagar Agritech Industries Limited,1335,1144.40
7,GBIME,Global IME Bank Limited,1239,262.20
8,SOPL,Sopan Pharmaceuticals Limited,1118,823.10
9,SAHAS,Sahas Urja Limited,1085,677.70
10,YMHL,Yambaling Hydropower Limited,1059,636.10
11,HBL,Himalayan Bank Limited,1001,202.90
12,SOHL,Solu Hydropower Limited,990,577.00
13,PCIL,Palpa Cements Industries Limited,936,650.00
14,SNORL,Snow Rivers Limited,934,944.00
15,RIDI,Ridi Power Company Limited,905,367.80
