Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,658.61","2,705.46","2,658.08","2,684.33",-1.20,-0.04,"4,572,084,231.39"
Sensitive Index,462.43,473.76,462.24,470.63,0.49,0.10,"1,539,076,721.00"
Float Index,182.01,185.81,181.93,184.73,0.14,0.07,"4,521,016,076.20"
Sensitive Float Index,156.45,160.64,156.30,159.65,0.17,0.11,"1,539,076,721.00"
Banking SubIndex,"1,430.26","1,508.11","1,430.26","1,495.24",3.94,0.26,"815,485,395.80"
Development Bank Index,"5,674.05","5,715.60","5,651.64","5,689.48",13.32,0.23,"428,270,408.00"
Finance Index,"2,422.40","2,454.47","2,422.40","2,429.41",-7.30,-0.29,"167,804,671.00"
Hotels And Tourism,"7,369.43","7,432.87","7,324.43","7,370.59",1.16,0.01,"66,888,961.10"
HydroPower Index,"3,710.35","3,743.94","3,703.18","3,716.27",0.31,0.00,"1,605,815,614.50"
Investment,99.32,99.64,98.06,98.33,-0.10,-0.10,"213,581,180.00"
Life Insurance,"12,015.15","12,112.52","11,970.90","12,053.94",11.80,0.09,"100,190,383.60"
Manufacturing And Processing,"10,697.55","10,756.35","10,572.84","10,598.42",-61.12,-0.57,"798,579,989.20"
Microfinance Index,"4,601.64","4,638.95","4,601.64","4,624.57",14.14,0.30,"178,139,820.30"
Mutual Fund,21.11,21.27,20.97,21.21,0.10,0.49,"20,417,664.40"
Non Life Insurance,"10,749.96","10,841.14","10,719.29","10,782.80",32.84,0.30,"38,942,495.50"
Others Index,"1,966.42","1,987.34","1,946.82","1,950.09",-16.33,-0.83,"105,747,739.20"
Trading Index,"3,379.60","3,451.03","3,340.58","3,348.08",-31.51,-0.93,"1,569,418.00"
