label,value
Total Turnovers (Rs.),"4,572,084,231.40"
Total Traded Shares,"11,449,987"
Total Transaction,"63,648"
Total Scrips Traded,349
Total Market Cap (Rs.),"4,613,215.23 Millions"
Floated Market Cap (Rs.),"1,560,912.75 Millions"
