rank,symbol,company_name,turnover,ltp
1,RSML,Reliance Spinning Mills Limited,276287011.90,2780.00
2,RIDI,Ridi Power Company Limited,208233148.60,367.80
3,GBIME,Global IME Bank Limited,194968821.60,262.20
4,SAPDBL,Saptakoshi Development Bank Limited,176003548.50,960.00
5,NRN,NRN Infrastructure and Development Limited,151560667.70,1417.00
6,SAIL,Shreenagar Agritech Industries Limited,150538208.00,1144.40
7,SAHAS,Sahas Urja Limited,116875975.00,677.70
8,ECL,Everest Colour Limited,106631113.00,1505.60
9,SBL,Siddhartha Bank Limited,103713778.90,420.00
10,KBL,Kumari Bank Limited,98521765.10,224.80
11,CFCL,Central Finance Limited,88986721.00,660.00
12,AKJCL,Ankhukhola Hydropower Company Limited,87236636.20,362.00
13,GRDBL,Green Development Bank Limited,78233136.40,1100.30
14,NHPC,National Hydro Power Company Limited,74262194.70,273.20
15,SYPNL,SY Panel Nepal Limited,70986141.90,1342.10
