rank,symbol,company_name,close,change,change_percent
1,KBLD86,10.25% Kumari Bank Debenture 2086,1266.50,-121.00,-8.72
2,RSML,Reliance Spinning Mills Limited,2780.00,-219.00,-7.30
3,SABBL,Salapa Bikas Bank Limited,1000.00,-45.00,-4.31
4,BGWT,Bhagawati Hydropower Development Company Limited,575.00,-20.00,-3.36
5,LBBLD89,11% LBBL Debenture 2089,1251.40,-38.70,-3.00
6,KSBBLD87,9% Kamana Sewa Bikas Bank Limited Debenture 2087,1192.20,-36.80,-2.99
7,SLCF,Sanima Large Cap Fund,9.61,-0.28,-2.83
8,RMF2,RBB Mutual Fund 2,9.80,-0.27,-2.68
9,MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,1615.00,-38.00,-2.30
10,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,1060.00,-25.00,-2.30
11,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,1190.00,-24.00,-1.98
12,SPDL,Synergy Power Development Limited,365.00,-7.10,-1.91
13,RBCLPO,Rastriya Beema Company Limited Promoter Share,11380.00,-213.00,-1.84
14,EBLD86,8.5% Everest Bank Debenture,1081.00,-19.10,-1.74
15,MANDU,Mandu Hydropower Limited,801.00,-14.00,-1.72
