rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,563136346.83,516342243.40,1079478590.23,46794103.43000007,208943095.80
2,49,Online Securities Limited,143649535.10,152145258.80,295794793.90,-8495723.700000018,7469026.60
3,42,Sani Securities Company Limited,142409637.00,134699438.29,277109075.29,7710198.710000008,10147246.40
4,45,Imperial Securities Co .Pvt.Limited,120580409.70,140089074.00,260669483.70,-19508664.299999997,8347491.80
5,34,Vision Securities Pvt.Limited,106360963.10,133334844.30,239695807.40,-26973881.200000003,6185820.80
6,48,Trishakti Securities Public Limited,123270877.00,114141017.70,237411894.70,9129859.299999997,4994419.40
7,44,Dynamic Money Managers Securities Pvt.Ltd,121521783.90,102219742.60,223741526.50,19302041.300000012,21447321.20
8,17,ABC Securities Pvt. Limited,82054555.10,126330499.70,208385054.80,-44275944.60000001,5561185.20
9,57,Arya Tara Investment And Securities Pvt. Ltd.,86968215.70,104060784.10,191028999.80,-17092568.39999999,8495031.00
10,77,Nabil Stock Dealer Limited,51971056.30,138004326.40,189975382.70,-86033270.10000001,1000520.00
11,35,Kohinoor Investment and Securities Pvt.Ltd,90863705.90,97384563.80,188248269.70,-6520857.899999991,2313579.80
12,14,Nepal Stock House Pvt. Limited,88557594.32,99331522.70,187889117.02,-10773928.38000001,1023056.60
13,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,104479015.70,79213413.70,183692429.40,25265602.0,4005997.80
14,39,Sumeru Securities Pvt.Limited,97633552.90,85427133.90,183060686.80,12206419.0,15668708.00
15,6,Agrawal Securities Pvt. Limited,65264692.20,106678729.00,171943421.20,-41414036.8,1912487.60
