rank,symbol,company_name,volume,ltp
1,GBIME,Global IME Bank Limited,738612.00,262.20
2,KSY,Kumari Sabal Yojana,706646.00,9.85
3,RIDI,Ridi Power Company Limited,560763.00,367.80
4,KBL,Kumari Bank Limited,437791.00,224.80
5,NICSF,NIC Asia Select-30,350000.00,9.00
6,C30MF,Citizens Super 30 Mutual Fund,289930.00,10.10
7,NHPC,National Hydro Power Company Limited,270002.00,273.20
8,SBL,Siddhartha Bank Limited,247131.00,420.00
9,AKJCL,Ankhukhola Hydropower Company Limited,238164.00,362.00
10,SAPDBL,Saptakoshi Development Bank Limited,208760.00,960.00
11,LSL,Laxmi Sunrise Bank Limited,206249.00,229.40
12,MBL,Machhapuchchhre Bank Limited,173570.00,261.00
13,SAHAS,Sahas Urja Limited,173114.00,677.70
14,NIMB,Nepal Investment Mega Bank Limited,168350.00,200.80
15,ADBL,Agricultural Development Bank Limited,134712.00,325.00
