rank,symbol,company_name,volume,ltp
1,RIDI,Ridi Power Company Limited,879886.00,377.00
2,SOHL,Solu Hydropower Limited,632667.00,695.00
3,KKHC,Khani Khola Hydropower Company Limited,433088.00,317.50
4,NGPL,Ngadi Group Power Limited,427557.00,421.00
5,KDBY,Kumari Dhanabriddhi Yojana,407193.00,10.88
6,AKJCL,Ankhukhola Hydropower Company Limited,283588.00,365.00
7,API,Api Power Company Limited,242144.00,332.00
8,GBIME,Global IME Bank Limited,211271.00,250.70
9,NHPC,National Hydro Power Company Limited,201232.00,273.70
10,KBL,Kumari Bank Limited,181279.00,216.00
11,UHEWA,Upper Hewakhola Hydropower Company Limited,168927.00,629.90
12,NIMB,Nepal Investment Mega Bank Limited,162254.00,193.30
13,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,144234.00,810.70
14,HPPL,Himalayan Power Partner Limited,139819.00,385.40
15,MNMF1,Muktinath Mutual Fund 1,117760.00,9.51
