rank,symbol,company_name,turnover,ltp
1,SOHL,Solu Hydropower Limited,448760589.70,695.00
2,RIDI,Ridi Power Company Limited,336764804.20,377.00
3,NGPL,Ngadi Group Power Limited,178658178.30,421.00
4,KKHC,Khani Khola Hydropower Company Limited,137747859.10,317.50
5,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,117360730.70,810.70
6,UHEWA,Upper Hewakhola Hydropower Company Limited,105226555.80,629.90
7,AKJCL,Ankhukhola Hydropower Company Limited,104078205.60,365.00
8,RSML,Reliance Spinning Mills Limited,82999671.60,2626.00
9,API,Api Power Company Limited,79723467.50,332.00
10,MEN,Mountain Energy Nepal Limited,69209545.60,610.80
11,SAIL,Shreenagar Agritech Industries Limited,63197037.30,1100.00
12,NHPC,National Hydro Power Company Limited,55171685.20,273.70
13,HPPL,Himalayan Power Partner Limited,53133355.10,385.40
14,GBIME,Global IME Bank Limited,52961233.90,250.70
15,ECL,Everest Colour Limited,52447219.40,1529.90
