rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,442524315.42,550399983.50,992924298.92,-107875668.07999998,125043215.20
2,42,Sani Securities Company Limited,160214333.90,183914050.42,344128384.32,-23699716.51999998,11424434.20
3,48,Trishakti Securities Public Limited,195854025.60,116885391.80,312739417.40,78968633.8,51324786.80
4,45,Imperial Securities Co .Pvt.Limited,139917627.30,150157321.60,290074948.90,-10239694.299999982,11777855.60
5,49,Online Securities Limited,123784289.40,103587549.00,227371838.40,20196740.400000006,6496045.40
6,34,Vision Securities Pvt.Limited,114648262.95,106758943.60,221407206.55,7889319.350000009,5179101.80
7,57,Arya Tara Investment And Securities Pvt. Ltd.,98199412.80,97979296.30,196178709.10,220116.5,6551395.20
8,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,61393235.40,118952973.10,180346208.50,-57559737.699999996,3715375.40
9,35,Kohinoor Investment and Securities Pvt.Ltd,83987004.40,85292329.00,169279333.40,-1305324.599999994,5085288.40
10,44,Dynamic Money Managers Securities Pvt.Ltd,88228935.00,79610172.40,167839107.40,8618762.599999994,1116066.00
11,74,KALASH STOCK MARKET PVT. LTD.,75720765.10,90992677.10,166713442.20,-15271912.0,1563375.00
12,62,Capital Max Securities Limited,73205054.60,76967062.00,150172116.60,-3762007.400000006,3683431.60
13,17,ABC Securities Pvt. Limited,48562633.60,100395307.30,148957940.90,-51832673.699999996,4434038.20
14,60,Nagarik Stock Dealer Company Ltd.,52799021.10,86732662.10,139531683.20,-33933640.99999999,2712510.00
15,56,Sri Hari Securities Pvt.Ltd,60346684.10,73942589.60,134289273.70,-13595905.499999993,16754313.60
