label,value
Total Turnovers (Rs.),"4,110,974,674.86"
Total Traded Shares,"9,534,221"
Total Transaction,"52,073"
Total Scrips Traded,340
Total Market Cap (Rs.),"4,540,207.60 Millions"
Floated Market Cap (Rs.),"1,532,325.99 Millions"
