rank,symbol,company_name,close,change,change_percent
1,MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,1370.00,-240.00,-14.91
2,PBD88,10% Prime Debenture 2088,1150.00,-50.00,-4.17
3,SAPDBL,Saptakoshi Development Bank Limited,802.00,-33.00,-3.95
4,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,1133.00,-41.00,-3.49
5,ECL,Everest Colour Limited,1529.90,-54.10,-3.42
6,NSY,Nepal Life Samriddhi Lagani Yojana,9.20,-0.28,-2.95
7,H8020,Himalayan 80-20,11.67,-0.34,-2.83
8,EBLD86,8.5% Everest Bank Debenture,1050.80,-30.20,-2.79
9,HLICF,HLI Large Cap Fund,8.50,-0.22,-2.52
10,SABBL,Salapa Bikas Bank Limited,957.20,-23.70,-2.42
11,NICGF2,NIC Asia Growth Fund 2,9.01,-0.22,-2.38
12,RIDI,Ridi Power Company Limited,377.00,-9.00,-2.33
13,SOHL,Solu Hydropower Limited,695.00,-16.00,-2.25
14,NIFRAUR85/86,7% NIFRA Urja Rinpatra 2085/86,1010.00,-23.00,-2.23
15,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,949.00,-21.00,-2.16
