rank,symbol,company_name,transactions,ltp
1,SOHL,Solu Hydropower Limited,2908,695.00
2,SGHL,Sanigad Hydro Limited,2669,523.40
3,ECL,Everest Colour Limited,1627,1529.90
4,KAHL,Kalanga Hydro Limited,1610,542.00
5,NGPL,Ngadi Group Power Limited,1178,421.00
6,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,1178,556.80
7,SOPL,Sopan Pharmaceuticals Limited,1151,814.00
8,RIDI,Ridi Power Company Limited,1061,377.00
9,UHEWA,Upper Hewakhola Hydropower Company Limited,992,629.90
10,MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,879,1370.00
11,KKHC,Khani Khola Hydropower Company Limited,776,317.50
12,YMHL,Yambaling Hydropower Limited,773,625.00
13,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,760,810.70
14,PCIL,Palpa Cements Industries Limited,708,623.00
15,CORBL,Corporate Development Bank Limited,699,1140.00
