Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,631.21","2,656.21","2,629.76","2,641.85",0.79,0.03,"4,110,974,674.86"
Sensitive Index,461.50,464.11,460.98,462.22,0.85,0.18,"1,380,497,643.50"
Float Index,180.71,182.13,180.64,181.35,0.17,0.09,"4,078,431,137.60"
Sensitive Float Index,156.12,157.08,156.02,156.47,0.30,0.19,"1,380,497,643.50"
Banking SubIndex,"1,446.64","1,459.21","1,446.64","1,454.64",4.67,0.32,"349,205,676.50"
Development Bank Index,"5,580.21","5,613.34","5,567.66","5,585.40",-5.78,-0.10,"200,823,475.50"
Finance Index,"2,381.04","2,404.86","2,378.57","2,386.36",-1.77,-0.07,"127,076,333.80"
Hotels And Tourism,"7,227.85","7,322.11","7,227.85","7,274.48",36.53,0.50,"74,935,973.50"
HydroPower Index,"3,710.13","3,754.00","3,701.58","3,734.77",2.16,0.05,"2,389,024,055.60"
Investment,97.14,97.14,96.40,96.57,0.07,0.07,"84,433,847.90"
Life Insurance,"11,768.59","11,830.57","11,718.04","11,765.84",11.51,0.09,"96,859,583.30"
Manufacturing And Processing,"10,278.75","10,483.42","10,278.61","10,397.55",-9.31,-0.08,"357,384,384.30"
Microfinance Index,"4,576.16","4,579.43","4,540.14","4,555.18",-16.60,-0.36,"295,490,646.60"
Mutual Fund,20.97,20.97,20.78,20.89,-0.08,-0.40,"8,680,061.16"
Non Life Insurance,"10,585.82","10,696.93","10,547.08","10,566.70",-43.06,-0.40,"40,819,597.00"
Others Index,"1,884.99","1,938.99","1,884.99","1,917.20",0.62,0.03,"54,425,718.60"
Trading Index,"3,358.70","3,380.85","3,289.37","3,332.65",-26.05,-0.77,"7,951,845.00"
