rank,symbol,company_name,close,change,change_percent
1,ULHC,Upper Lohore Khola Hydropower Company Limited,436.60,56.90,14.99
2,RBBD2088,7% RBBL Debenture 2088,1053.00,58.90,5.92
3,LUK,Laxmi Unnati Kosh,10.59,0.53,5.27
4,HIMSTAR,Him Star Urja Company Limited,718.90,25.90,3.74
5,UHEWA,Upper Hewakhola Hydropower Company Limited,629.90,21.90,3.60
6,SEF,Siddhartha Equity Fund,10.25,0.35,3.54
7,BHPL,Barahi Hydropower Public Limited,499.00,16.50,3.42
8,CKHL,Chirkhwa Hydro Power Limited,599.00,18.00,3.10
9,NGPL,Ngadi Group Power Limited,421.00,12.50,3.06
10,SCBD,10.30% Standard Chartered Bank Nepal Limited Debenture,1133.00,33.00,3.00
11,PBD85,8.75% Prime Debenture 2085,1091.80,31.80,3.00
12,SFMF,Sunrise First Mutual Fund,10.30,0.29,2.90
13,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,1474.00,40.00,2.79
14,TVCL,Trishuli Jal Vidhyut Company Limited,480.00,11.90,2.54
15,JHAPA,Jhapa Energy Limited,1095.10,25.10,2.35
