label,value
Total Turnovers (Rs.),"6,267,226,722.57"
Total Traded Shares,"13,769,100"
Total Transaction,"70,158"
Total Scrips Traded,353
Total Market Cap (Rs.),"4,699,609.35 millions"
Floated Market Cap (Rs.),"1,583,434.81 Millions"
