rank,symbol,company_name,close,change,change_percent
1,SAND2085,10% Sanima Debenture 2085,1100.00,-107.70,-8.92
2,GBILD86/87,8.5% Global IME Bank Ltd. Debenture 2086/87,1128.00,-74.00,-6.16
3,SBCF,Sunrise Bluechip Fund,9.61,-0.57,-5.60
4,GSY,Garima Samriddhi Yojana,9.42,-0.48,-4.85
5,SFMF,Sunrise First Mutual Fund,10.03,-0.47,-4.48
6,SAIL,Shreenagar Agritech Industries Limited,1108.00,-37.00,-3.23
7,BNL,Bottlers Nepal Limited (Balaju),14744.00,-456.00,-3.00
8,PBLD86,10.25% Prabhu Bank Debenture 2086,1425.90,-44.10,-3.00
9,NMBD2085,10% NMB Debenture 2085,1174.68,-36.32,-3.00
10,SCBD,10.30% Standard Chartered Bank Nepal Limited Debenture,1101.00,-34.00,-3.00
11,LUK,Laxmi Unnati Kosh,9.76,-0.30,-2.98
12,SBLD84,8.5% SBL Debenture 2084,1058.00,-32.00,-2.94
13,SOHL,Solu Hydropower Limited,605.00,-18.00,-2.89
14,NADEP,NADEP Laghubitta Bittiya Sanstha Limited,738.00,-22.00,-2.89
15,NBF2,Nabil Balanced Fund - 2,10.02,-0.29,-2.81
