rank,symbol,company_name,volume,ltp
1,KBL,Kumari Bank Limited,1129916.00,228.20
2,RIDI,Ridi Power Company Limited,824107.00,370.00
3,AKJCL,Ankhukhola Hydropower Company Limited,515226.00,379.00
4,NIMB,Nepal Investment Mega Bank Limited,461662.00,204.20
5,KKHC,Khani Khola Hydropower Company Limited,368499.00,282.30
6,PRVU,Prabhu Bank Limited,361992.00,199.90
7,NHPC,National Hydro Power Company Limited,320535.00,280.40
8,RMF1,RBB Mutual Fund 1,260327.00,9.70
9,API,Api Power Company Limited,242798.00,344.00
10,LSL,Laxmi Sunrise Bank Limited,227090.00,230.30
11,NRN,NRN Infrastructure and Development Limited,183860.00,1463.00
12,CFCL,Central Finance Limited,182999.00,657.20
13,GBIME,Global IME Bank Limited,177663.00,249.50
14,MNMF1,Muktinath Mutual Fund 1,172054.00,9.70
15,KBSH,Kutheli Bukhari Small Hydropower Limited,148511.00,1050.00
