Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,719.62","2,747.23","2,715.51","2,734.60",7.88,0.28,"6,267,226,722.57"
Sensitive Index,469.25,474.92,469.06,473.47,2.16,0.45,"1,930,873,008.45"
Float Index,185.99,188.04,185.80,187.40,0.82,0.43,"6,148,469,458.85"
Sensitive Float Index,158.91,160.94,158.83,160.53,0.80,0.50,"1,930,873,008.45"
Banking SubIndex,"1,469.18","1,493.50","1,466.34","1,489.12",17.33,1.17,"966,119,803.65"
Development Bank Index,"5,759.12","5,847.66","5,750.97","5,840.76",56.09,0.96,"508,298,135.30"
Finance Index,"2,459.84","2,485.70","2,456.80","2,465.49",-4.97,-0.20,"248,527,871.00"
Hotels And Tourism,"7,510.39","7,640.47","7,510.39","7,542.40",32.00,0.42,"178,232,464.50"
HydroPower Index,"3,816.04","3,857.68","3,801.43","3,816.33",-4.84,-0.12,"2,600,099,251.50"
Investment,99.74,101.07,99.74,100.46,0.29,0.29,"405,425,996.00"
Life Insurance,"12,310.17","12,365.56","12,274.17","12,319.59",16.50,0.13,"137,742,784.40"
Manufacturing And Processing,"11,024.58","11,268.27","11,005.59","11,049.18",-65.93,-0.59,"665,052,777.10"
Microfinance Index,"4,669.25","4,717.33","4,659.47","4,715.96",17.26,0.36,"172,005,201.00"
Mutual Fund,21.41,21.41,21.08,21.21,-0.45,-2.08,"7,110,590.32"
Non Life Insurance,"11,005.85","11,084.60","10,940.77","11,008.71",2.85,0.02,"56,975,373.60"
Others Index,"2,003.05","2,022.01","1,982.29","2,003.17",-5.30,-0.26,"202,637,836.80"
Trading Index,"3,461.30","3,463.71","3,363.74","3,449.02",-12.27,-0.35,"7,351,964.00"
