rank,symbol,company_name,turnover,ltp
1,RIDI,Ridi Power Company Limited,309319239.70,370.00
2,NRN,NRN Infrastructure and Development Limited,273474131.50,1463.00
3,KBL,Kumari Bank Limited,258134231.40,228.20
4,AKJCL,Ankhukhola Hydropower Company Limited,196667184.70,379.00
5,CORBL,Corporate Development Bank Limited,172906462.70,1549.00
6,RSML,Reliance Spinning Mills Limited,151197048.10,3494.00
7,KBSH,Kutheli Bukhari Small Hydropower Limited,141800098.80,1050.00
8,CFCL,Central Finance Limited,120331669.70,657.20
9,SYPNL,SY Panel Nepal Limited,109451109.50,1424.00
10,SAIL,Shreenagar Agritech Industries Limited,103439423.60,1108.00
11,KKHC,Khani Khola Hydropower Company Limited,102437266.10,282.30
12,NIMB,Nepal Investment Mega Bank Limited,93878220.40,204.20
13,NHPC,National Hydro Power Company Limited,90692361.90,280.40
14,RADHI,Radhi Bidyut Company Limited,87121258.00,755.00
15,SOPL,Sopan Pharmaceuticals Limited,86354656.90,893.00
