rank,symbol,company_name,transactions,ltp
1,SGHL,Sanigad Hydro Limited,3182,552.00
2,KAHL,Kalanga Hydro Limited,2463,601.20
3,KBL,Kumari Bank Limited,2261,228.20
4,SOPL,Sopan Pharmaceuticals Limited,1750,893.00
5,PCIL,Palpa Cements Industries Limited,1451,692.00
6,CORBL,Corporate Development Bank Limited,1420,1549.00
7,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,1360,574.00
8,HFIN,Hotel Forest Inn Limited,1299,779.00
9,SOHL,Solu Hydropower Limited,1266,605.00
10,KBSH,Kutheli Bukhari Small Hydropower Limited,1228,1050.00
11,RIDI,Ridi Power Company Limited,1112,370.00
12,HBL,Himalayan Bank Limited,1110,206.00
13,YMHL,Yambaling Hydropower Limited,1034,655.00
14,SNORL,Snow Rivers Limited,1026,979.00
15,NIMB,Nepal Investment Mega Bank Limited,1014,204.20
