rank,symbol,company_name,transactions,ltp
1,SGHL,Sanigad Hydro Limited,3462,503.00
2,KAHL,Kalanga Hydro Limited,2454,508.00
3,AKJCL,Ankhukhola Hydropower Company Limited,1591,374.40
4,HRL,Himalayan Reinsurance Limited,1588,616.00
5,NHPC,National Hydro Power Company Limited,1455,280.00
6,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,1301,536.10
7,CORBL,Corporate Development Bank Limited,1251,1498.00
8,SOHL,Solu Hydropower Limited,1219,596.00
9,RIDI,Ridi Power Company Limited,1168,359.70
10,SOPL,Sopan Pharmaceuticals Limited,1120,848.00
11,SYPNL,SY Panel Nepal Limited,1100,1397.50
12,RSML,Reliance Spinning Mills Limited,1020,3498.00
13,YMHL,Yambaling Hydropower Limited,1001,623.00
14,PCIL,Palpa Cements Industries Limited,985,665.00
15,SAIL,Shreenagar Agritech Industries Limited,898,1069.20
