label,value
Total Turnovers (Rs.),"5,512,688,979.28"
Total Traded Shares,"12,245,337"
Total Transaction,"67,155"
Total Scrips Traded,343
Total Market Cap (Rs.),"4,673,210.58 Millions"
Floated Market Cap (Rs.),"1,575,188.85 Millions"
