rank,symbol,company_name,volume,ltp
1,AKJCL,Ankhukhola Hydropower Company Limited,785535.00,374.40
2,RIDI,Ridi Power Company Limited,576803.00,359.70
3,NHPC,National Hydro Power Company Limited,571209.00,280.00
4,API,Api Power Company Limited,374987.00,346.00
5,KBL,Kumari Bank Limited,273423.00,220.00
6,HDHPC,Himal Dolakha Hydropower Company Limited,259206.00,222.00
7,NGPL,Ngadi Group Power Limited,251112.00,428.80
8,BHL,Balephi Hydropower Limited,215139.00,218.10
9,HIDCLP,Hydroelectricity Investment and Development Company Limited Promoter Share,212296.00,199.50
10,CITY,City Hotel Limited,207043.00,386.00
11,HRL,Himalayan Reinsurance Limited,185510.00,616.00
12,PRVU,Prabhu Bank Limited,168988.00,198.50
13,LEC,Liberty Energy Company Limited,168116.00,225.40
14,SSHL,Shiva Shree Hydropower Limited,161561.00,213.00
15,UPPER,Upper Tamakoshi Hydropower Limited,158748.00,202.50
